level,M,N,seed,densityMetric
all,5,5,242696483,0.5813
all,5,5,248347154,0.2341
all,5,5,249164720,0.9801
all,5,5,250001749,0.3902
all,5,5,250875566,0.8488
all,5,5,25765741,0.6238
all,5,5,263366951,0.3805
all,5,5,263738689,0.3122
all,5,5,264604773,0.4604
all,5,5,266013641,0.4109
all,5,5,274088549,0.3448
all,5,5,282803583,0.6089
all,5,5,284044465,0.1951
all,5,5,284095836,1.0146
all,5,5,284305703,0.4703
all,5,5,286545197,0.3168
all,5,5,288220185,0.3707
all,5,5,290028573,0.1902
all,5,5,30466209,0.1561
all,5,5,307406376,0.2488
all,5,5,310740590,0.6049
all,5,5,310785126,0.6139
all,5,5,314136519,0.7313
all,5,5,314772335,1.0732
all,5,5,317186902,0.3547
all,5,5,318648618,0.5396
all,5,5,3190698,0.2228
all,5,5,320565364,0.5347
all,5,5,32832090,0.3024
all,5,5,33749446,0.5495
all,5,5,338184062,0.2512
all,5,5,338254202,0.4802
all,5,5,338355266,1.6832
all,5,5,34574605,0.3911
all,5,5,345905230,0.2244
all,5,5,349115556,0.6585
all,5,5,352131326,0.3645
all,5,5,353239593,0.3268
all,5,5,374285752,0.3153
all,5,5,378926222,0.3220
all,5,5,389637486,0.3399
all,5,5,390449205,0.5050
all,5,5,394069222,0.5659
all,5,5,397094406,0.3892
all,5,5,398138962,0.3366
all,5,5,40200334,0.8762
all,5,5,402917232,0.3218
all,5,5,403964344,0.3854
all,5,5,404055628,0.6293
all,5,5,404339833,0.6485
all,5,5,406366678,0.2341
all,5,5,410802099,0.3366
all,5,5,411540598,0.5522
all,5,5,412614930,0.5220
all,5,5,415329913,0.3218
all,5,5,418512816,0.4901
all,5,5,424439698,0.2426
all,5,5,426397291,0.2293
all,5,5,430865303,0.2365
all,5,5,433249755,0.4089
all,5,5,4400875,0.2488
all,5,5,443975091,0.2829
all,5,5,457010101,1.0345
all,5,5,464552830,0.4703
all,5,5,474121507,0.4802
all,5,5,477696865,0.5644
all,5,5,478007858,0.4488
all,5,5,487085458,0.1782
all,5,5,493460051,0.2611
all,5,5,495496426,0.4554
all,5,5,496163446,0.7586
all,5,5,502216463,0.9356
all,5,5,50486210,0.5220
all,5,5,509376917,0.4208
all,5,5,512430066,0.2780
