level,M,N,seed,linearityRSquared
all,5,5,412614930,0.2537
all,5,5,415329913,0.0051
all,5,5,418512816,0.0021
all,5,5,424439698,0.3627
all,5,5,426397291,0.0002
all,5,5,430865303,0.2185
all,5,5,433249755,0.1935
all,5,5,4400875,0.0447
all,5,5,443975091,0.3070
all,5,5,457010101,0.0842
all,5,5,464552830,0.0245
all,5,5,474121507,0.0930
all,5,5,477696865,0.0623
all,5,5,478007858,0.0856
all,5,5,487085458,0.1150
all,5,5,493460051,0.0611
all,5,5,495496426,0.1526
all,5,5,496163446,0.0082
all,5,5,502216463,0.0532
all,5,5,50486210,0.2027
all,5,5,509376917,0.2915
