level,M,N,seed,leniencyMetric
all,2,2,1369268605,-55.9894
all,2,2,1370678541,-37.5625
all,2,2,1371921981,-60.3889
all,2,2,1376996146,-50.8667
all,2,2,1378325955,-53.7553
all,2,2,1387100808,-63.5250
all,2,2,139090846,-53.1341
all,2,2,1394878018,-50.2188
all,2,2,1402202751,-47.1970
all,2,2,1402600680,-46.8235
all,2,2,140593133,-55.6667
all,2,2,1409946047,-52.5000
all,2,2,1415923339,-50.0122
all,2,2,1420950107,-43.6765
all,2,2,1423469236,-56.4070
all,2,2,1426784040,-54.4459
all,2,2,1428144759,-50.4250
all,2,2,1428447742,-50.0926
all,2,2,1429342757,-52.3684
all,2,2,1429367741,-54.7632
all,2,2,1434039671,-58.5313
all,2,2,1438620056,-55.9444
all,2,2,1441298207,-46.5303
all,2,2,1442116807,-55.5851
all,2,2,144553863,-48.7353
all,2,2,1447091856,-52.8611
all,2,2,1453464562,-59.5000
all,2,2,1458317563,-46.6429
all,2,2,1460399984,-45.2241
all,2,2,1472519785,-49.5000
all,2,2,1475822054,-49.9000
all,2,2,1486134430,-48.8333
all,2,2,1491601708,-52.4615
all,2,2,1491837140,-53.9528
all,2,2,149402193,-51.1250
all,2,2,1497341512,-42.5000
all,2,2,1499439034,-47.4762
all,2,2,150003645,-58.4032
all,2,2,1506941806,-53.2576
all,2,2,151766778,-49.4630
all,2,2,1518552583,-51.0882
all,2,2,1523332101,-55.2778
all,2,2,1523727059,-43.4677
all,2,2,1527983421,-46.8077
all,2,2,1528725164,-50.2742
all,2,2,1532248033,-51.1071
all,2,2,1535902079,-51.1176
all,2,2,1537249979,-49.3947
all,2,2,1547328460,-39.0455
all,2,2,154842449,-51.8077
all,2,2,1553932502,-50.7821
all,2,2,155632444,-52.5270
all,2,2,1557376909,-55.6667
all,2,2,1560491078,-44.4333
all,2,2,156571102,-51.2241
all,2,2,1567134334,-58.7857
all,2,2,1574326162,-49.8478
all,2,2,1575324253,-55.2209
all,2,2,1580277552,-52.3065
all,2,2,1580781148,-37.0185
all,2,2,1585697870,-56.2619
all,2,2,158842907,-49.4091
all,2,2,1588852410,-52.5000
all,2,2,1590547014,-55.5638
all,2,2,1591203019,-51.1429
all,2,2,1592482057,-50.7619
all,2,2,1596644030,-54.6750
all,2,2,1602836944,-59.3214
all,2,2,1609883387,-55.2368
all,2,2,1615150894,-46.6143
all,2,2,161804169,-52.6515
all,2,2,1622527981,-55.2949
all,2,2,1624765118,-47.1429
all,2,2,1626660603,-47.2273
all,2,2,1628569142,-55.6563
all,2,2,1631313019,-53.2333
all,2,2,1636998586,-48.4167
