level,M,N,seed,Leniency
13modified,5,5,121517879,-24.0789
13modified,5,5,1218956449,-17.5000
13modified,5,5,1220857629,-22.0000
13modified,5,5,122636459,-24.6579
13modified,5,5,1236938826,-20.0556
13modified,5,5,1238089418,-20.0556
13modified,5,5,1239333564,-25.0556
13modified,5,5,1239423347,-20.0556
13modified,5,5,1244343931,-22.0000
13modified,5,5,1247424055,-22.0000
13modified,5,5,1253403816,-22.0000
13modified,5,5,1254240742,-20.7000
13modified,5,5,1258495007,-22.3889
13modified,5,5,1258640178,-18.6000
13modified,5,5,1262808787,-18.6000
13modified,5,5,1267863457,-22.0000
13modified,5,5,1270189611,-18.6000
13modified,5,5,127163802,-22.0000
13modified,5,5,1271668708,-20.0556
13modified,5,5,1276761550,-38.3500
13modified,5,5,1283146202,-22.0000
13modified,5,5,1284767523,-29.6000
13modified,5,5,1284979047,-20.0556
13modified,5,5,1287583795,-30.8500
13modified,5,5,129177879,-22.0000
13modified,5,5,1291812261,-22.0000
13modified,5,5,1296181786,-22.0000
13modified,5,5,1297797396,-26.5952
13modified,5,5,1300281288,-38.3500
13modified,5,5,130343672,-39.6000
13modified,5,5,1304411502,-22.0000
13modified,5,5,1305713308,-22.9545
13modified,5,5,1311883021,-22.0000
13modified,5,5,1317489515,-20.0556
13modified,5,5,1320558199,-20.0556
13modified,5,5,132171085,-20.0556
13modified,5,5,1325172324,-20.0556
13modified,5,5,1328939852,-22.0000
13modified,5,5,1329511017,-37.1000
13modified,5,5,1330840711,-28.3500
13modified,5,5,1338907167,-22.3889
13modified,5,5,1339191204,-22.0000
13modified,5,5,1345515006,-22.0000
13modified,5,5,1355377520,-24.9000
13modified,5,5,1355770660,-20.0556
13modified,5,5,1355855791,-22.0000
13modified,5,5,1367058402,-21.1667
13modified,5,5,1369693239,-22.0000
13modified,5,5,1370493443,-20.0556
13modified,5,5,1375961841,-22.0000
13modified,5,5,1379239789,-20.0556
13modified,5,5,1379677300,-22.0000
13modified,5,5,1380874286,-22.0000
13modified,5,5,1390622701,-30.8500
13modified,5,5,1393381329,-22.0000
13modified,5,5,140049215,-22.0000
13modified,5,5,1400897988,-22.0000
13modified,5,5,140138570,-33.3500
13modified,5,5,1403473012,-20.0556
13modified,5,5,140426014,-23.3889
13modified,5,5,1406169335,-20.0556
13modified,5,5,1409219218,-22.0000
13modified,5,5,1414002230,-22.0000
13modified,5,5,1414848587,-22.0000
13modified,5,5,1417800695,-30.8500
13modified,5,5,1418823909,-18.6000
13modified,5,5,1422096273,-20.0556
13modified,5,5,1422340164,-22.0000
13modified,5,5,1428885398,-22.9444
13modified,5,5,1432931138,-20.0556
13modified,5,5,1435702274,-20.0556
13modified,5,5,1442828598,-22.0000
13modified,5,5,1444250916,-20.0556
13modified,5,5,1444728851,-22.0000
13modified,5,5,1445946007,-20.0556
13modified,5,5,1455079617,-22.0000
13modified,5,5,1469178699,-22.0000
13modified,5,5,1485648931,-20.0556
13modified,5,5,1489473398,-22.0000
13modified,5,5,1492036798,-25.7222
13modified,5,5,1500374048,-29.6000
13modified,5,5,1518127689,-20.0556
13modified,5,5,1520662092,-20.0556
13modified,5,5,1521797734,-22.0000
13modified,5,5,1521857072,-22.0000
13modified,5,5,1527085562,-20.0556
13modified,5,5,1528447628,-22.0000
13modified,5,5,1528623184,-22.0000
13modified,5,5,1528883926,-22.0000
13modified,5,5,1530917927,-22.0000
13modified,5,5,1534190313,-22.0000
13modified,5,5,1536542558,-22.0000
13modified,5,5,1544833968,-20.0556
13modified,5,5,1545647499,-33.7381
13modified,5,5,1545790953,-18.6000
13modified,5,5,1549334183,-18.6000
13modified,5,5,1563672877,-22.0000
13modified,5,5,1564428778,-22.0000
13modified,5,5,1570821298,-22.0000
13modified,5,5,1574494205,-22.0000
13modified,5,5,1575922346,-22.0000
13modified,5,5,1581301167,-20.0556
13modified,5,5,1581525025,-18.6000
13modified,5,5,159156494,-18.6000
13modified,5,5,15922624,-20.0556
13modified,5,5,1605211333,-22.3889
13modified,5,5,1618292705,-22.0000
13modified,5,5,1630051769,-22.0000
13modified,5,5,1631311736,-20.0556
13modified,5,5,1634471845,-32.1000
13modified,5,5,1638141669,-22.0000
13modified,5,5,1644857069,-29.6000
13modified,5,5,1646088882,-23.5000
13modified,5,5,1647927131,-22.0000
13modified,5,5,1648573550,-22.0000
13modified,5,5,1648715558,-22.3889
13modified,5,5,165124605,-22.0000
13modified,5,5,1652343484,-38.3500
13modified,5,5,1671478460,-22.0000
13modified,5,5,1673899669,-22.0000
13modified,5,5,1677595108,-22.0000
13modified,5,5,1685011586,-20.0556
13modified,5,5,1685915541,-22.0000
13modified,5,5,1688508850,-25.7222
13modified,5,5,1689224270,-32.1000
13modified,5,5,1691300633,-33.7381
13modified,5,5,169350567,-20.0556
13modified,5,5,1694494086,-22.0000
13modified,5,5,1699881393,-24.6111
13modified,5,5,170059920,-22.0000
13modified,5,5,1703267364,-22.0000
13modified,5,5,1718889993,-28.3500
13modified,5,5,1727995726,-21.6000
13modified,5,5,173478034,-22.3889
13modified,5,5,1753121492,-22.0000
13modified,5,5,1755389484,-27.7000
13modified,5,5,1770140071,-20.0556
13modified,5,5,1772031632,-22.0000
13modified,5,5,1773290032,-22.0000
13modified,5,5,1774046280,-22.0000
13modified,5,5,1775250801,-22.0000
13modified,5,5,1775582847,-34.6000
13modified,5,5,1776534121,-22.0000
13modified,5,5,1777690022,-22.0000
13modified,5,5,1785903944,-22.0000
13modified,5,5,1785905982,-22.3889
13modified,5,5,1791014376,-22.0000
13modified,5,5,1799221831,-29.6000
13modified,5,5,1799720844,-22.0000
13modified,5,5,1800443151,-17.5000
13modified,5,5,1803252283,-22.0000
